"Timestamp","Would you ever put ketchup on your pizza?","What country/state are you from?"
"2017/10/29 11:20:57 PM CST","Oh god no, that's disgusting","Texas"
"2017/10/30 5:38:50 AM CST","Oh god no, that's disgusting","Missouri"
"2017/10/30 5:45:37 AM CST","Oh god no, that's disgusting","Paraguay"
"2017/10/30 6:00:36 AM CST","Oh god no, that's disgusting","mn "
"2017/10/30 6:00:58 AM CST","Oh god no, that's disgusting","Ohio"
"2017/10/30 6:02:19 AM CST","Of course! I do it all the time","MA"
"2017/10/30 6:04:39 AM CST","Oh god no, that's disgusting","USA, IL"
"2017/10/30 6:04:55 AM CST","Oh god no, that's disgusting","wisconsin"
"2017/10/30 6:05:55 AM CST","Oh god no, that's disgusting","Minnesota "
"2017/10/30 6:07:42 AM CST","Oh god no, that's disgusting","Michigan"
"2017/10/30 6:08:22 AM CST","Oh god no, that's disgusting","United States"
"2017/10/30 6:10:32 AM CST","Oh god no, that's disgusting","USA Utah"
"2017/10/30 6:10:48 AM CST","Oh god no, that's disgusting","Iowa"
"2017/10/30 6:12:10 AM CST","Oh god no, that's disgusting","Minnesota "
"2017/10/30 6:24:03 AM CST","Oh god no, that's disgusting","Illinois"
"2017/10/30 6:26:33 AM CST","I have no strong feelings","Minnesota"
"2017/10/30 6:27:59 AM CST","I have no strong feelings","IL"
"2017/10/30 6:33:49 AM CST","Oh god no, that's disgusting","Canada/Manitoba"
"2017/10/30 6:47:56 AM CST","Oh god no, that's disgusting","Colorado, USA"
"2017/10/30 6:48:12 AM CST","Oh god no, that's disgusting","MN"
"2017/10/30 6:49:03 AM CST","Oh god no, that's disgusting","US, Oklahoma"
"2017/10/30 6:52:15 AM CST","Oh god no, that's disgusting","NJ"
"2017/10/30 6:54:20 AM CST","Oh god no, that's disgusting","Missouri "
"2017/10/30 6:54:21 AM CST","Oh god no, that's disgusting","Illinois "
"2017/10/30 6:55:11 AM CST","Oh god no, that's disgusting","United States of America/Minnesota"
"2017/10/30 7:03:37 AM CST","Oh god no, that's disgusting","mn"
"2017/10/30 7:05:00 AM CST","Oh god no, that's disgusting","MN"
"2017/10/30 7:05:28 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 7:07:27 AM CST","Oh god no, that's disgusting","Illinois"
"2017/10/30 7:11:27 AM CST","Oh god no, that's disgusting","USA/Illinois"
"2017/10/30 7:11:30 AM CST","Oh god no, that's disgusting","California "
"2017/10/30 7:11:48 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 7:12:19 AM CST","Oh god no, that's disgusting","USA"
"2017/10/30 7:14:25 AM CST","Oh god no, that's disgusting","Minnesota, USA"
"2017/10/30 7:14:54 AM CST","Oh god no, that's disgusting","USA"
"2017/10/30 7:17:54 AM CST","I have no strong feelings","Ukraine"
"2017/10/30 7:18:00 AM CST","Oh god no, that's disgusting","MN"
"2017/10/30 7:20:09 AM CST","Oh god no, that's disgusting","MN"
"2017/10/30 7:21:18 AM CST","Oh god no, that's disgusting","CO, USA"
"2017/10/30 7:21:29 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 7:21:40 AM CST","I have no strong feelings","Vietnam"
"2017/10/30 7:24:18 AM CST","Oh god no, that's disgusting","United states"
"2017/10/30 7:24:23 AM CST","Oh god no, that's disgusting","Egypt"
"2017/10/30 7:28:03 AM CST","Oh god no, that's disgusting","United States"
