Timestamp,Would you ever put ketchup on your pizza?,What country/state are you from?
2017/10/29 11:20:57 PM CST,hate,Texas
2017/10/30 5:38:50 AM CST,hate,Missouri
2017/10/30 5:45:37 AM CST,hate,paraguay
2017/10/30 6:00:36 AM CST,hate,Minnesota
2017/10/30 6:00:58 AM CST,hate,Ohio
2017/10/30 6:02:19 AM CST,love,Massachusetts
2017/10/30 6:04:39 AM CST,hate,Illinois
2017/10/30 6:04:55 AM CST,hate,Wisconsin
2017/10/30 6:05:55 AM CST,hate,Minnesota
2017/10/30 6:07:42 AM CST,hate,Michigan
2017/10/30 6:08:22 AM CST,hate,usa
2017/10/30 6:10:32 AM CST,hate,Utah
2017/10/30 6:10:48 AM CST,hate,Iowa
2017/10/30 6:12:10 AM CST,hate,Minnesota
2017/10/30 6:24:03 AM CST,hate,Illinois
2017/10/30 6:26:33 AM CST,meh,Minnesota
2017/10/30 6:27:59 AM CST,meh,Illinois
2017/10/30 6:33:49 AM CST,hate,canada/manitoba
2017/10/30 6:47:56 AM CST,hate,Colorado
2017/10/30 6:48:12 AM CST,hate,Minnesota
2017/10/30 6:49:03 AM CST,hate,Oklahoma
2017/10/30 6:52:15 AM CST,hate,New Jersey
2017/10/30 6:54:20 AM CST,hate,Missouri
2017/10/30 6:54:21 AM CST,hate,Illinois
2017/10/30 6:55:11 AM CST,hate,Minnesota
2017/10/30 7:03:37 AM CST,hate,Minnesota
2017/10/30 7:05:00 AM CST,hate,Minnesota
2017/10/30 7:05:28 AM CST,hate,Minnesota
2017/10/30 7:07:27 AM CST,hate,Illinois
2017/10/30 7:11:27 AM CST,hate,Illinois
2017/10/30 7:11:30 AM CST,hate,California
2017/10/30 7:11:48 AM CST,hate,Minnesota
2017/10/30 7:12:19 AM CST,hate,usa
2017/10/30 7:14:25 AM CST,hate,Minnesota
2017/10/30 7:14:54 AM CST,hate,usa
2017/10/30 7:17:54 AM CST,meh,ukraine
2017/10/30 7:18:00 AM CST,hate,Minnesota
2017/10/30 7:20:09 AM CST,hate,Minnesota
2017/10/30 7:21:18 AM CST,hate,Colorado
2017/10/30 7:21:29 AM CST,hate,Minnesota
2017/10/30 7:21:40 AM CST,meh,vietnam
2017/10/30 7:24:18 AM CST,hate,usa
2017/10/30 7:24:23 AM CST,hate,egypt
2017/10/30 7:28:03 AM CST,hate,usa
2017/10/30 7:31:47 AM CST,hate,Minnesota
2017/10/30 7:34:10 AM CST,hate,California
2017/10/30 7:34:22 AM CST,hate,usa
2017/10/30 7:35:31 AM CST,hate,Minnesota
2017/10/30 7:36:48 AM CST,hate,Massachusetts
2017/10/30 7:42:07 AM CST,hate,usa
2017/10/30 7:47:26 AM CST,hate,Minnesota
2017/10/30 7:48:36 AM CST,hate,phillipines (fl)
2017/10/30 7:50:33 AM CST,hate,Minnesota
2017/10/30 7:54:59 AM CST,meh,armenia
2017/10/30 7:58:54 AM CST,hate,Illinois
2017/10/30 8:00:51 AM CST,hate,Iowa
2017/10/30 8:00:53 AM CST,hate,Wisconsin
2017/10/30 8:01:37 AM CST,meh,ukraine
2017/10/30 8:02:32 AM CST,meh,Illinois
2017/10/30 8:02:41 AM CST,hate,Minnesota
2017/10/30 8:02:46 AM CST,hate,Illinois
2017/10/30 8:04:58 AM CST,meh,Illinois
2017/10/30 8:06:43 AM CST,hate,Montana
2017/10/30 8:06:50 AM CST,hate,Minnesota
2017/10/30 8:10:15 AM CST,hate,Oregon
2017/10/30 8:10:38 AM CST,meh,Illinois
2017/10/30 8:12:18 AM CST,hate,Minnesota
