Timestamp,What are your closest friends' majors?,What major are you?,How many history majors do you know?
11/27/2017 4:21:46,"Computer Science, Nursing, Music Education",Computer Science,2
11/27/2017 6:26:05,"Norwegian, physics, biology",Physics,0
11/27/2017 6:44:30,"Studio Art, Physics, CIS",Computer Science,5?
11/27/2017 6:48:53,"Physics, Bio, Music",Music,0
11/27/2017 7:07:29,"music education, english, classics",biology,one
11/27/2017 7:13:01,Political science; biology ,Biology ,2
11/27/2017 7:16:41,"Religion, Norwegian, English",English,3
11/27/2017 7:31:53,"Psychology, American studies, dance",Dance ,3
11/27/2017 7:37:16,"Biology, Political Science, SOAN",Biology,0
11/27/2017 7:38:20,"English, psychology, comp sci ",Econ,Don’t know 
11/27/2017 7:44:45,Physics Math Music,Physics ,Three
11/27/2017 7:51:26,"Music, Philosophy, Psychology",Biology,none
11/27/2017 7:52:05,"Sociology, English, Womens and Gender Studies",Classics,One
11/27/2017 7:54:12,"Art, English, Environmental Science",Art,0
11/27/2017 7:54:13,"Biology, Social Work, Nursing",Social Work,0
11/27/2017 7:54:21,"Political Science, Music, Math",Political Science,One (1)
11/27/2017 7:57:38,"Psych, Enviromental Science and History",Biology,1
11/27/2017 7:57:55,"Math, Physics, Philosophy",Physics,2
11/27/2017 8:03:13,"Soan, Norwegian, biology ","Economics, Chinese ",None
11/27/2017 8:04:45,"CS, math, psych",Bio,1
11/27/2017 8:12:12,"Music Education, English, Math",Music Education,None
11/27/2017 8:14:25,"Economics, Political Science, Physics",Math,0
11/27/2017 8:24:35,"Bio, English, Soc/Anthro",History,10
11/27/2017 8:25:32,"Biology, Math, Chemistry",Mathematics,1
11/27/2017 8:36:41,"Philosophy, Political Science, Biology",Russian Language,2
11/27/2017 8:46:21,"Religion, Sociology/Anthropology, Biology",Chinese,2
11/27/2017 8:55:11,"Computer Science, Women's and Gender Studies, Biology",Political Science,2
11/27/2017 8:59:37,"Economics, English",Psychology,2
11/27/2017 9:01:16,"Violin Performance, English Major, Undecided",Violin Performance,2
11/27/2017 9:02:33,"Math, theatre, religion",Spanish,0
11/27/2017 9:03:25,"Social work, political science, music education ",Race and Ethnic studies,None/ unsure
11/27/2017 9:22:50,English Biology Physics,Psychology ,3
11/27/2017 9:23:49,"Chemistry, music, music",Music,1
11/27/2017 9:53:51,"English, Linguistics concentration, ESL Ed, TEFL certification; Music Ed; Social Work",Theater Ed,2
11/27/2017 9:57:29,Theater and English ,Theater and History,At least 10
11/27/2017 10:05:48,"Math, physics, art",Biology,0
11/27/2017 10:11:10,"Chem, Bio, Music",Music,2
11/27/2017 10:11:34,"Psychology, Economic, Computer Science",Computer Science,2
11/27/2017 10:12:51,"Biology, Psychology, Economics",Exercise Science,0
11/27/2017 10:14:49,"Music Performance, English",Biology,None
11/27/2017 10:16:28,"Political Science, SO/AN, Education",Social Work ,None
11/27/2017 10:18:08,"economics, social work, exercise science",economics,1
11/27/2017 10:18:24,Social Work,Political Science,
11/27/2017 10:22:28,"English, Education, Chemistry",Chemistry,0
11/27/2017 10:23:45,"Philosophy, Religion, Music",Philosophy,3
11/27/2017 10:30:08,"Math, Physics, Biology ",Political Science ,1
11/27/2017 10:34:02,"Political science,  bio, and computer science ",Undecided ,1
11/27/2017 10:34:34,"political science, economics, English",economics,0
11/27/2017 10:48:23,"Religion, Music Education, History",Economics,5
11/27/2017 10:48:27,"Economics, History, Music",Religion,5
11/27/2017 10:51:01,"Social Work, Music Education, Psychology",German,"At least 5, probably more"
11/27/2017 10:53:50,"Biology, psychology, spanish",biology,1
11/27/2017 11:19:23,"theater, psychology, music",theater,one or two?
11/27/2017 11:41:17,"Biology, History, Math",Economics,1
11/27/2017 11:42:11,"Computer Science, Exercise Science, Spanish",English,2
11/27/2017 11:50:26,"Music Education, Norwegian, Music Education",Studio Art,0
11/27/2017 11:53:20,"math, econ, unknown",math,2
11/27/2017 12:12:31,"Religion, Econ, History",Econ,6 or more
11/27/2017 12:38:16,"biology, psychology, history",psychology,2
11/27/2017 12:54:42,"Chemistry, Music, Math","Math, Stats, CS",2
11/27/2017 13:05:32,"Physics, Mathematics, Biology",Mathematics,2
11/27/2017 13:25:40,"Computer Science, Music Education, Exercise Science",Music Education,none
11/27/2017 14:28:52,"SOAN, psychology, english",psychology,none o: 
11/27/2017 15:13:10,"Psychology, English and Nursing",Psychology,2
11/27/2017 16:36:13,"Medieval Studies, Classics, Japanese",Philosophy,3
11/27/2017 16:51:03,"Music, Economics, Math",Biology,0
11/27/2017 19:52:16,"Music, Music Ed, Norwegian",Faculty in music,One
11/27/2017 20:20:03,"chemistry, english, japanese",asian studies,1
11/27/2017 21:09:32,"Exercise Science, Math, Nursing",Biology,0
11/28/2017 1:42:00,"Theater, English, Philosophy",Philosophy,3
11/28/2017 10:33:09,"physics, biology, chemistry",economics,1
11/28/2017 20:30:22,"Computer Science, Maths, Political Science",Computer Science and Maths,1
12/1/2017 10:57:50,Psychology + Management; Religion and Math + Stats; Computer Science,Studio Art and Religion + MENA Studies,7 or so
