Timestamp,What are your closest friends' majors?,What major are you?,How many history majors do you know?
11/27/2017 4:21:46,"Computer Science, Nursing, music_education",Computer Science,2
11/27/2017 6:26:05,"Norwegian, physics, biology",Physics,0
11/27/2017 6:44:30,"Art, Physics, CIS",Computer Science,5?
11/27/2017 6:48:53,"Physics, biology, Music",Music,0
11/27/2017 7:07:29,"music_education, english, classics",biology,one
11/27/2017 7:13:01,Political science, biology ,Biology ,2
11/27/2017 7:16:41,"Religion, Norwegian, English",English,3
11/27/2017 7:31:53,"Psychology, American studies, dance",Dance ,3
11/27/2017 7:37:16,"Biology, Political Science, SOAN",Biology,0
11/27/2017 7:38:20,"English, psychology, computer science ",Economics,Don’t know 
11/27/2017 7:44:45,"Physics, Math, Music",Physics ,Three
11/27/2017 7:51:26,"Music, Philosophy, Psychology",Biology,none
11/27/2017 7:52:05,"soan, English, Women and Gender Studies",Classics,One
11/27/2017 7:54:12,"Art, English, Environmental Science",Art,0
11/27/2017 7:54:13,"Biology, Social Work, Nursing",Social Work,0
11/27/2017 7:54:21,"Political Science, Music, Math",Political Science,One (1)
11/27/2017 7:57:38,"psychology, Enviromental Science, History",Biology,1
11/27/2017 7:57:55,"Math, Physics, Philosophy",Physics,2
11/27/2017 8:03:13,"Soan, Norwegian, biology ","Economics",None
11/27/2017 8:04:45,"computer science, math, psychology",Biology,1
11/27/2017 8:12:12,"music_education, English, Math",music_education,None
11/27/2017 8:14:25,"Economics, Political Science, Physics",Math,0
11/27/2017 8:24:35,"biology, English, soan",History,10
11/27/2017 8:25:32,"Biology, Math, Chemistry",Math,1
11/27/2017 8:36:41,"Philosophy, Political Science, Biology",Russian Language,2
11/27/2017 8:46:21,"Religion, soan, Biology",Chinese,2
11/27/2017 8:55:11,"Computer Science, Women and Gender Studies, Biology",Political Science,2
11/27/2017 8:59:37,"Economics, English",Psychology,2
11/27/2017 9:01:16,"Music, English, Undecided",Music,2
11/27/2017 9:02:33,"Math, theatre, religion",Spanish,0
11/27/2017 9:03:25,"Social work, political science, music_education ",Race and Ethnic studies,None/ unsure
11/27/2017 9:22:50,"English, Biology, Physics",Psychology ,3
11/27/2017 9:23:49,"Chemistry, music, music",Music,1
11/27/2017 9:53:51,"English, Linguistics concentration, ESL Ed, TEFL certification, music_education, Social Work",Theater,2
11/27/2017 9:57:29,Theater, English ,History,At least 10
11/27/2017 10:05:48,"Math, physics, art",Biology,0
11/27/2017 10:11:10,"Chemistry, biology, Music",Music,2
11/27/2017 10:11:34,"Psychology, Economics, Computer Science",Computer Science,2
11/27/2017 10:12:51,"Biology, Psychology, Economics",Exercise Science,0
11/27/2017 10:14:49,"Music, English",Biology,None
11/27/2017 10:16:28,"Political Science, soan, Education",Social Work ,None
11/27/2017 10:18:08,"economics, social work, exercise science",economics,1
11/27/2017 10:18:24,Social Work,Political Science,
11/27/2017 10:22:28,"English, Education, Chemistry",Chemistry,0
11/27/2017 10:23:45,"Philosophy, Religion, Music",Philosophy,3
11/27/2017 10:30:08,"Math, Physics, Biology ",Political Science ,1
11/27/2017 10:34:02,"Political science,  biology, computer science ",Undecided ,1
11/27/2017 10:34:34,"political science, economics, English",economics,0
11/27/2017 10:48:23,"Religion, music_education, History",Economics,5
11/27/2017 10:48:27,"Economics, History, Music",Religion,5
11/27/2017 10:51:01,"Social Work, music_education, Psychology",German,"At least 5, probably more"
11/27/2017 10:53:50,"Biology, psychology, spanish",biology,1
11/27/2017 11:19:23,"theater, psychology, music",theater,one or two?
11/27/2017 11:41:17,"Biology, History, Math",Economics,1
11/27/2017 11:42:11,"Computer Science, Exercise Science, Spanish",English,2
11/27/2017 11:50:26,"music_education, Norwegian, music_education",Art,0
11/27/2017 11:53:20,"math, Economics, unknown",math,2
11/27/2017 12:12:31,"Religion, Economics, History",Economics,6 or more
11/27/2017 12:38:16,"biology, psychology, history",psychology,2
11/27/2017 12:54:42,"Chemistry, Music, Math","Math",2
11/27/2017 13:05:32,"Physics, Math, Biology",Math,2
11/27/2017 13:25:40,"Computer Science, music_education, Exercise Science",music_education,none
11/27/2017 14:28:52,"SOAN, psychology, english",psychology,none o: 
11/27/2017 15:13:10,"Psychology, English, Nursing",Psychology,2
11/27/2017 16:36:13,"Medieval Studies, Classics, Japanese",Philosophy,3
11/27/2017 16:51:03,"Music, Economics, Math",Biology,0
11/27/2017 19:52:16,"Music, music_education, Norwegian",Faculty in music,One
11/27/2017 20:20:03,"chemistry, english, japanese",asian studies,1
11/27/2017 21:09:32,"Exercise Science, Math, Nursing",Biology,0
11/28/2017 1:42:00,"Theater, English, Philosophy",Philosophy,3
11/28/2017 10:33:09,"physics, biology, chemistry",economics,1
11/28/2017 20:30:22,"Computer Science, Math, Political Science",Computer Science,1
12/1/2017 10:57:50,"Psychology, Management, Religion, Math, Computer Science",Art,7 or so
