Timestamp,Do you make your bed every morning? ,(Optional) Why?,What do you think most people's answer will be?
2/11/2018 23:07:38,Always! Or almost always.,I feel like a terrible person if I don't. I think it comes from my mom. ,Most people don't usually make their beds every day.
2/12/2018 0:49:58,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 6:05:14,Not usually...,I'm just gonna mess it up again!,Most people don't usually make their beds every day.
2/12/2018 6:30:12,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 6:30:38,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 6:31:01,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 6:34:43,Always! Or almost always.,Makes the room look neater.,Most people don't usually make their beds every day.
2/12/2018 6:36:01,Always! Or almost always.,Mom taught me ,Most people don't usually make their beds every day.
2/12/2018 6:48:59,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 6:49:36,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 6:50:33,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 6:50:49,Not usually...,"I take too long to get up, so I don't have time. ",Most people make their bed every day or almost every day.
2/12/2018 6:52:02,Not usually...,"I've never thought it was super important and since you just mess it up when you get back in, but now that I think it would be good to, all that's holding me back is habit",Most people make their bed every day or almost every day.
2/12/2018 6:55:09,Always! Or almost always.,,Most people make their bed every day or almost every day.
2/12/2018 6:57:37,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 6:59:38,Not usually...,Not worth it,Most people don't usually make their beds every day.
2/12/2018 7:01:46,Not usually...,"There's so much on my mind as I'm leaving the house - with all the important things that I almost (or do) forget, I am ok with forgetting to make my bed!",Most people don't usually make their beds every day.
2/12/2018 7:02:30,Always! Or almost always.,,Most people make their bed every day or almost every day.
2/12/2018 7:04:54,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 7:09:43,Always! Or almost always.,Always ,Most people don't usually make their beds every day.
2/12/2018 7:11:27,Not usually...,I only do if I want to impress or crave the feeling of control over some measly part of my life. But on a normal day it seems like a waste of time to make a bed that's just going to be unmade. ,Most people don't usually make their beds every day.
2/12/2018 7:15:27,Always! Or almost always.,,Most people make their bed every day or almost every day.
2/12/2018 7:15:36,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 7:16:54,Not usually..., It takes too much time,Most people don't usually make their beds every day.
2/12/2018 7:19:00,Always! Or almost always.,"a nice, tidied looking bed really brings the room together (and gives me my peace of mind: instead of spending time thinking about whether I should make bed or not, I just do it..)",Most people make their bed every day or almost every day.
2/12/2018 7:20:01,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 7:23:23,Not usually...,It's lofted,Most people don't usually make their beds every day.
2/12/2018 7:24:16,Always! Or almost always.,"It looks much nicer to have my bed made, so I’m trying to be courteous to my roommate and whoever else might be in our room.",Most people don't usually make their beds every day.
2/12/2018 7:26:09,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 7:26:15,Always! Or almost always.,I like it to look clean and it feels fresh when I get in at night,Most people make their bed every day or almost every day.
2/12/2018 7:26:20,Always! Or almost always.,It is a good feeling to go to a made bed after a long stressful day.,Most people don't usually make their beds every day.
2/12/2018 7:26:27,Not usually...,Bed is lofted ,Most people don't usually make their beds every day.
2/12/2018 7:27:30,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 7:29:06,Always! Or almost always.,Makes me feel like I've got my life in order ,Most people don't usually make their beds every day.
2/12/2018 7:31:23,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:32:30,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:32:42,Not usually...,Not much of a reason to,Most people don't usually make their beds every day.
2/12/2018 7:32:50,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:34:45,Always! Or almost always.,Makes me feel more polished in the morning ,Most people make their bed every day or almost every day.
2/12/2018 7:37:25,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:38:56,Not usually...,It’s unnecessary,Most people don't usually make their beds every day.
2/12/2018 7:39:59,Not usually...,Too much work,Most people don't usually make their beds every day.
2/12/2018 7:42:06,Not usually...,Usually I just straighten out the blankets.,Most people don't usually make their beds every day.
2/12/2018 7:42:56,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:43:31,Not usually...,What's the point?  I'm going to mess it up again tonight anyway...,Most people make their bed every day or almost every day.
2/12/2018 7:48:27,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 7:49:12,Not usually...,Because I will come back to it every night.,Most people don't usually make their beds every day.
2/12/2018 7:49:51,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 7:50:33,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:53:08,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:55:54,Not usually...,Lazy,Most people don't usually make their beds every day.
2/12/2018 7:56:10,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:58:34,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 7:58:39,Not usually...,You can make your bed later if you want your room to look more presentable,Most people don't usually make their beds every day.
2/12/2018 8:04:01,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 8:05:27,Always! Or almost always.,Feel less cluttered,Most people don't usually make their beds every day.
2/12/2018 8:11:07,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:15:14,Not usually...,,Most people make their bed every day or almost every day.
2/12/2018 8:18:25,Not usually...,"It takes up time, and I don't usually have a lot of people over.",Most people don't usually make their beds every day.
2/12/2018 8:18:54,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 8:19:21,Always! Or almost always.,"I like to accomplish tasks at the beginning of my day, it feels good. ",Most people don't usually make their beds every day.
2/12/2018 8:20:47,Always! Or almost always.,"Habit, I dont like seeing a messy bed",Most people don't usually make their beds every day.
2/12/2018 8:21:07,Always! Or almost always.,My parents told me to make my bed while I was growing up,Most people make their bed every day or almost every day.
2/12/2018 8:21:13,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:22:25,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:22:58,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:24:53,Always! Or almost always.,,Most people make their bed every day or almost every day.
2/12/2018 8:26:29,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 8:26:34,Not usually...,Too much effort,Most people don't usually make their beds every day.
2/12/2018 8:26:58,Always! Or almost always.,It the first tiny sense of accomplishment of the day,Most people don't usually make their beds every day.
2/12/2018 8:28:05,Not usually...,Habit,Most people make their bed every day or almost every day.
2/12/2018 8:29:17,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 8:31:58,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 8:33:01,Not usually...,"There is no time to make your bed, and once I read an article that if you make your bed in the morning it has no time to air out and more bacteria and fungi grow in your sheets.",Most people make their bed every day or almost every day.
2/12/2018 8:34:39,Not usually...,I’m just too lazy...,Most people don't usually make their beds every day.
2/12/2018 8:35:31,Always! Or almost always.,I like coming back to a neat-looking room,Most people don't usually make their beds every day.
2/12/2018 8:42:38,Always! Or almost always.,,Most people make their bed every day or almost every day.
2/12/2018 8:44:35,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:45:27,Always! Or almost always.,because I use a duvet so its easy to pull up the covers and declare my bed made! ,Most people don't usually make their beds every day.
2/12/2018 8:48:00,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:49:16,Not usually...,Spouse still asleep.,Most people don't usually make their beds every day.
2/12/2018 8:52:23,Always! Or almost always.,It's an easy way to make my room look nice,Most people make their bed every day or almost every day.
2/12/2018 8:52:54,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:54:28,Not usually...,"Feels like a waste of time, particularly because I don't like to sleep with my blankets tucked under the mattress",Most people don't usually make their beds every day.
2/12/2018 8:55:15,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 8:59:26,Not usually...,"I respect those who make their bed on principle, but I don't think I could be convinced that making one's bed is a legitimately useful action.",Most people don't usually make their beds every day.
2/12/2018 9:02:21,Always! Or almost always.,My first success everyday,Most people don't usually make their beds every day.
2/12/2018 9:02:30,Not usually...,,Most people make their bed every day or almost every day.
2/12/2018 9:02:53,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 9:04:30,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 9:09:19,Not usually...,I was in an institution where making beds daily was mandatory. Never again.,Most people make their bed every day or almost every day.
2/12/2018 9:09:23,Not usually...,I'll just sleep in it again,Most people don't usually make their beds every day.
