Timestamp,How did your parents meet?,How old are you?,(Optional) How did you meet your romantic partner?
2/25/2018 20:07:41,"My parents met in the living room. My dad came as a suitor because a friend of a friend of the family had connected him, so they visited as a family the woman's family, and they then got engaged and got to know each other that way before they got married. ",25 or younger.,We met at playfair! She doesn't remember meeting me there though :( 
2/26/2018 6:11:02,Work,25 or younger.,Mutual friends
2/26/2018 6:15:48,At college,25 or younger.,
2/26/2018 6:25:48,My parents met at a restaurant my mom was working at. ,26 or older.,My husband and I met at a restaurant we were both working at in college.
2/26/2018 6:26:24,In a bar,25 or younger.,At work (coworker )
2/26/2018 6:37:43,Rock climbing ,25 or younger.,
2/26/2018 6:38:06,During college orientation ,26 or older.,During week one at St Olaf
2/26/2018 6:42:04,At their college church group,25 or younger.,N/a
2/26/2018 6:42:11,They played in a music ensemble together.,25 or younger.,School
2/26/2018 6:47:17,Church trip,26 or older.,Through a friend
2/26/2018 6:53:01,College,25 or younger.,
2/26/2018 6:54:36,At college ,25 or younger.,
2/26/2018 7:09:53,At a bar ,26 or older.,Haven’t met one yet
2/26/2018 7:10:23,At work,25 or younger.,Tinderrrrrrrr
2/26/2018 7:10:46,At a church group in college ,25 or younger.,
2/26/2018 7:11:55,At college,25 or younger.,
2/26/2018 7:13:10,"High School Sweethearts, now divorced",25 or younger.,
2/26/2018 7:16:12,Work,25 or younger.,
2/26/2018 7:19:12,Work,25 or younger.,
2/26/2018 7:20:12,In primary school,25 or younger.,Tinder
2/26/2018 7:21:04,High school sweethearts,25 or younger.,She sits next to me in class
2/26/2018 7:21:38,Middle school,25 or younger.,High school
2/26/2018 7:23:21,Lab partners in college,25 or younger.,Through mutual friends 
2/26/2018 7:24:20,"My mom was dating one of my dad's best friends 😳 (no cheating though, don't worry)",25 or younger.,"He sat in front of me in English class, although we didn't date for about 2.5 more years"
2/26/2018 7:25:18,At work,25 or younger.,
2/26/2018 7:30:46,Through a friend,25 or younger.,At Michigan Youth in Government 
2/26/2018 7:34:18,At a party to celebrate the life of a mutual friend’s dead cat.,25 or younger.,Randomly assigned seats next to each other in first class on an international flight during Interim.
2/26/2018 7:36:02,Blind date,25 or younger.,School club
2/26/2018 7:36:59,"When my mother was a teacher, her mentor, an older female teacher, invited my mother to to dinner and also invited her much younger cousin, my father, with the purpose of introducing them. ",26 or older.,"My husband and I met at speedskating camp in Wisconsin, and we married exactly 6 months (to the day) later. We have been married almost 25 years now."
2/26/2018 7:39:23,work,25 or younger.,
2/26/2018 7:42:47,At a car dealership (so at work),25 or younger.,
2/26/2018 7:43:03,They met at their job,26 or older.,"At the lake, we had cabins on the same lake - still together 38 years later :)"
